ISO,Date,Time,bpm,Sleep bpm,Sedentary bpm,Walking,Workout,Max-%,Type,Notes
2025-05-15T22:05:31-04:00,"Thursday, May 15",10:05:31 PM,101,,,,1,53,warmup/health,
2025-05-15T22:05:38-04:00,"Thursday, May 15",10:05:38 PM,104,,,,1,55,warmup/health,
2025-05-15T22:05:41-04:00,"Thursday, May 15",10:05:41 PM,105,,,,1,55,warmup/health,
2025-05-15T22:05:46-04:00,"Thursday, May 15",10:05:46 PM,94,,,,1,50,high resting,
2025-05-15T22:05:54-04:00,"Thursday, May 15",10:05:54 PM,100,,,,1,53,warmup/health,
2025-05-15T22:05:58-04:00,"Thursday, May 15",10:05:58 PM,99,,,,1,52,warmup/health,
2025-05-15T22:06:01-04:00,"Thursday, May 15",10:06:01 PM,100,,,,1,53,warmup/health,
2025-05-15T22:06:08-04:00,"Thursday, May 15",10:06:08 PM,98,,,,1,52,warmup/health,
2025-05-15T22:06:15-04:00,"Thursday, May 15",10:06:15 PM,94,,,,1,50,high resting,
2025-05-15T22:06:17-04:00,"Thursday, May 15",10:06:17 PM,95,,,,1,50,warmup/health,
2025-05-15T22:06:21-04:00,"Thursday, May 15",10:06:21 PM,97,,,,1,51,warmup/health,
2025-05-15T22:06:27-04:00,"Thursday, May 15",10:06:27 PM,97,,,,1,51,warmup/health,
2025-05-15T22:06:31-04:00,"Thursday, May 15",10:06:31 PM,98,,,,1,52,warmup/health,
